"country";"iucn_cat";"count";"area_ha"
"ESP";"VI";33;173217.943739275
"EST";"Ia";29;8000.53457292937
"EST";"Ib";313;166738.331492591
"EST";"III";145;252.963127573608
"EST";"IV";456;141052.144885679
"EST";"Not Applicable";539;1044223.04344681
"EST";"Not Reported";5377;522230.403110305
"EST";"V";824;161817.192985611
"EST";"VI";480;239785.729025621
"ETH";"II";10;2224914.97895676
"ETH";"IV";8;2339194.4112683
"ETH";"Not Applicable";2;260169.960199046
"ETH";"Not Reported";58;4413199.98746743
"ETH";"VI";17;14853278.9300308
"FIN";"Ia";18;153465.644443658
"FIN";"Ib";5;112836.311085264
"FIN";"II";32;908269.105354295
"FIN";"III";2;771.119890106359
"FIN";"IV";2;2293.9690525448
"FIN";"Not Applicable";1821;5495481.70953538
"FIN";"Not Reported";10442;232948.782203351
"FIN";"VI";100;1858757.66932657
"FJI";"Ia";4;1920.77261897292
"FJI";"II";2;1478.12051341196
"FJI";"IV";1;476.853844706252
"FRA";"Ia";46;14008.6756707196
"FRA";"II";4;259456.595300408
"FRA";"III";13;1395.00199017124
"FRA";"IV";2210;451326.118982824
"FRA";"Not Applicable";1621;9150299.55469617
"FRA";"Not Reported";7;661.584279890521
"FRA";"V";45;7814022.70239181
"FRA,ESP";"Not Applicable";1;25040.581595817
"GAB";"IV";3;463540.79103786
"GAB";"Not Applicable";1;491225.973987923
"GAB";"Not Reported";12;2903513.35917382
"GBR";"IV";8715;2315507.31125286
"GBR";"Not Applicable";846;2802151.46429007
"GBR";"Not Reported";145;156780.496734711
"GBR";"V";66;4094484.57864139
"GEO";"Ia";19;180914.0815806
"GEO";"II";10;274341.003233651
"GEO";"III";10;795.743786785932
"GEO";"IV";18;64678.0806397599
"GEO";"V";2;34184.9838244717
"GHA";"Ia";1;33619.1522085661
"GHA";"II";6;1014618.98287382
"GHA";"IV";3;23795.2325094749
"GHA";"Not Applicable";2;9758.32855775453
"GHA";"Not Reported";239;2378392.95631875
"GHA";"VI";5;102414.113176181
"GIN";"Ia";1;14561.8934781321
"GIN";"II";1;27816.8209957927
"GIN";"Not Reported";98;991312.546737933
"GLP";"II";1;22068.4170075465
"GLP";"IV";34;3774.72144791046
"GMB";"II";2;5831.71053235592
"GMB";"IV";1;93.6331644823425
"GMB";"Not Applicable";3;31895.1152665401
"GMB";"Not Reported";5;28202.0601546592
"GNB";"Not Reported";15;901602.625716456
"GNQ";"Ib";1;51074.9802672924
"GNQ";"II";3;295473.923626666
"GNQ";"III";2;38983.2503255881
"GNQ";"IV";1;25727.6980166524
"GRC";"Ia";5;5763.74729461933
"GRC";"II";18;78495.5833806609
"GRC";"III";25;45810.5102446179
"GRC";"IV";615;1063362.55183157
"GRC";"Not Applicable";381;4793782.33841084
"GRC";"Not Reported";36;322817.944057186
"GRC";"V";3;139034.763501367
"GRC";"VI";51;1072327.22149232
"GRL";"Ib";5;73835.3156228058
"GRL";"III";3;58395.8672018148
"GTM";"II";12;122754.06380535
"GTM";"III";11;285012.621091388
"GTM";"IV";31;31683.2244959955
"GTM";"Not Applicable";5;2869395.99702602
"GTM";"Not Reported";59;886697.417143786
"GTM";"V";124;51307.5324072302
"GTM";"VI";6;1891916.54049181
"GUF";"Ib";1;110584.560684793
"GUF";"II";1;2021841.49669152
"GUF";"IV";12;187238.605743882
"GUF";"V";2;1581043.4723126
"GUY";"II";1;61022.0592875476
"GUY";"VI";4;1770833.79705752
"HKG";"V";9;13045.8511397806
"HND";"II";15;654884.948920615
"HND";"IV";21;150391.51533782
"HND";"Not Reported";5;318571.771315872
"HRV";"Ib";5;2728.65649465316
"HRV";"II";4;58210.8789087214
"HRV";"III";27;361.730900310148
"HRV";"IV";71;17314.5156821818
"HRV";"Not Applicable";4;122417.988053387
"HRV";"Not Reported";128;4212.4368788959
"HRV";"V";94;339724.818073915
"HRV";"VI";2;160120.116279658
"HUN";"II";5;165123.88355939
"HUN";"IV";37;19115.231807437
"HUN";"Not Applicable";549;2900651.72697091
"HUN";"V";20;199903.491710912
"HUN,SVK";"Not Applicable";1;59566.4818767191
"IDN";"Ia";46;669743.08040838
"IDN";"Ib";3;102825.073893247
"IDN";"II";11;4022375.34397649
"IDN";"III";1;1767.14377687643
"IDN";"IV";21;3148152.88429598
"IDN";"Not Applicable";4;4887938.15043291
"IDN";"Not Reported";152;14325538.305434
"IDN";"V";17;244161.348198178
"IDN";"VI";37;3378562.27642498
"IND";"Ib";1;65177.0161551527
"IND";"II";49;2998244.38168082
"IND";"IV";239;10274458.2683965
"IND";"Not Applicable";10;1597439.81181588
"IND";"Not Reported";36;2229139.09719965
"IRL";"II";5;34819.7996266797
"IRL";"IV";216;73821.3782144191
"IRL";"Not Applicable";537;1117503.54767991
"IRN";"II";15;1547102.72797452
"IRN";"III";2;3233.36138343728
"IRN";"IV";31;3912412.11755332
"IRN";"Not Applicable";19;2803380.71467794
"IRN";"Not Reported";14;750827.570489805
"IRN";"V";49;5015328.33810101
"IRQ";"Not Applicable";1;137376.549983687
"IRQ";"Not Reported";1;139640.193585345
"ISL";"Ib";1;35788.5074762771
"ISL";"II";6;1565258.07371585
"ISL";"III";43;33485.7054009299
"ISL";"IV";15;71850.6295294312
"ISL";"Not Applicable";2;101500.14115299
"ISL";"V";23;579985.597271436
"ISL";"VI";8;539561.319486691
"ISR";"II";1;3154.41596591653
"ISR";"IV";89;261860.768952567
"ISR";"Not Applicable";1;66.0564310486512
"ISR";"Not Reported";153;179892.219400422
"ITA";"Ia";114;61135.4108954177
"ITA";"II";20;1426106.34717772
"ITA";"III";55;6008.7045350129
"ITA";"IV";453;1122685.30988271
"ITA";"Not Applicable";2493;7342516.61375651
"ITA";"V";175;443577.864404165
"JAM";"Not Applicable";3;59650.0935973535
"JAM";"Not Reported";5;55822.15460814
"JAM";"VI";116;109362.530427334
"JEY";"Not Reported";10;213.145537127954
"JEY";"V";3;276.316923647686
"JEY";"VI";1;1079.13415853101
"JOR";"IV";5;54077.3764206235
"JOR";"Not Applicable";3;102919.773366857
"JOR";"Not Reported";17;292940.263472071
"JOR";"V";1;72875.1107867361
"JPN";"Ia";5;9252.43035156361
"JPN";"Ib";10;191661.913550025
"JPN";"II";5;423267.797723779
"JPN";"IV";2;56555.9243043815
"JPN";"Not Applicable";9;181957.582427229
"JPN";"V";27;2750446.42866908
"KAZ";"Ia";8;859833.336018123
"KAZ";"II";3;612829.114322935
"KAZ";"IV";19;3442870.38005768
"KAZ";"Not Applicable";5;1184717.07602564
"KAZ";"Not Reported";7;7889950.15141305
"KEN";"II";29;3283793.43271686
"KEN";"IV";1;17031.2549616218
"KEN";"Not Applicable";6;440202.06302116
"KEN";"Not Reported";180;3106665.88169023
"KEN";"VI";10;708714.55087529
"KGZ";"Ia";6;873121.201587802
"KGZ";"II";6;64206.2112694367
"KGZ";"IV";16;321492.595470038
"KGZ";"Not Applicable";2;636638.050312006
"KHM";"II";5;552766.194100739
"KHM";"III";1;12907.5564879374
"KHM";"IV";16;2871145.53073634
"KHM";"Not Applicable";4;557502.651698448
"KHM";"Not Reported";11;776025.792912393
"KHM";"V";3;99483.168071189
"KHM";"VI";3;411272.601818407
"KOR";"Ia";9;45246.4549985888
"KOR";"II";12;272786.687137513
"KOR";"IV";128;379080.779861112
"KOR";"Not Applicable";11;78852.9794560703
"KOR";"V";20;65644.3854356834
"KWT";"II";1;32468.0100491685
"KWT";"IV";9;272793.322090589
"KWT";"V";4;72892.8358681567
"LAO";"Not Applicable";1;217413.155742699
"LAO";"Not Reported";8;923608.901407294
"LAO";"VI";21;3399994.66621944
"LBN";"Not Applicable";2;16885.3634355697
"LBR";"Not Reported";14;1152892.7839924
"LCA";"Not Applicable";1;1929.18728171736
"LCA";"VI";14;7839.14998702428
"LIE";"Ib";9;1308.0464393186
"LIE";"IV";31;621.486979201439
"LIE";"Not Applicable";1;91.4396952168629
"LIE";"V";1;6248.14960122511
