"country","iucn_cat","count","area_ha"
"DNK","III",20,8657.53924711306
"DNK","IV",294,475123.022237978
"DNK","Not Applicable",444,4960922.0051238
"DNK","Not Reported",149,191038.546906055
"DNK","V",1420,102383.383196084
"DNK,GRL","Not Applicable",1,402702.650491328
"DOM","Ia",6,18469.8366758871
"DOM","Ib",2,2255892.62905517
"DOM","II",19,851339.02646435
"DOM","III",17,45247.7342223876
"DOM","IV",15,51327.0304629923
"DOM","V",10,35887.2775820769
"DOM","VI",15,244440.140428418
"DZA","II",3,9924419.82295064
"DZA","Not Applicable",6,17533924.4325856
"DZA","V",1,80938.3710634632
"ECU","Ia",3,135515.499418296
"ECU","II",10,NaN
"ECU","III",1,3990.13483731993
"ECU","Not Applicable",7,NaN
"ECU","Not Reported",1,55435.0575590365
"ECU","V",1,1123.36290083536
"ECU","VI",9,NaN
"EGY","Ia",5,5889.20198582419
"EGY","II",2,766247.912721996
"EGY","III",2,583534.676886676
"EGY","IV",2,94111.3867409919
"EGY","Not Applicable",4,399231.886551233
"EGY","Not Reported",20,11164510.0857968
"EGY","V",3,477116.846924319
"EGY","VI",9,6577637.03034673
"ERI","IV",3,590299.112304572
"ERI","Not Reported",1,65168.1020003349
"ESH","Not Reported",1,1888849.87881761
"ESP","Ia",10,32900.1056370013
"ESP","Ib",66,34367.2521416335
"ESP","II",102,1132179.42350965
"ESP","III",259,111984.705502996
"ESP","IV",203,334973.339977577
"ESP","Not Applicable",2116,24070750.1711477
"ESP","Not Reported",698,1825168.42203583
"ESP","V",328,4507013.17796085
"ESP","VI",33,173217.943739275
"EST","Ia",29,8000.53457292937
"EST","Ib",316,190267.663473957
"EST","III",145,252.963127573609
"EST","IV",461,151338.861094476
"EST","Not Applicable",579,2950310.87626682
"EST","Not Reported",5391,694959.202687327
"EST","V",825,161835.384334217
"EST","VI",508,916650.951309553
"ETH","II",10,2224914.97895676
"ETH","IV",8,2339194.4112683
"ETH","Not Applicable",2,260169.960199046
"ETH","Not Reported",58,4413199.98746743
"ETH","VI",17,14853278.9300308
"FIN","Ia",20,159997.014863221
"FIN","Ib",6,127811.955450688
"FIN","II",36,979577.688162594
"FIN","III",2,771.119890106359
"FIN","IV",9,22118.1412629859
"FIN","Not Applicable",1904,7110063.83507376
"FIN","Not Reported",10446,254022.539146643
"FIN","VI",112,1898570.24608546
"FJI","Ia",7,6949.88994233955
"FJI","II",2,1478.12051341196
"FJI","IV",2,553.234006751723
"FJI","Not Reported",94,1146525.08442289
"FJI","VI",7,166383.433583307
"FRA","Ia",46,14008.6756707196
"FRA","II",5,261439.467820818
"FRA","III",13,1395.00199017124
"FRA","IV",2279,605754.492083829
